url,title,category
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916554284499403.pdf,Neural correlates of social ostracism in anxious youth at risk for bipolar,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//20200609_OHBM_POSTER_15916565157853982.pdf,Enhancing the Statistical Power of Tracking Network Alterations,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_Jianxiao_1591660647187973.pdf,A Connectivity-based Psychometric Prediction Framework,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Kwon_2020_1591665624310119.pdf,Relationship between depression and dorsolateral prefronto-thalamic tract injury,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//Poster.OHBM.2020_15916688468282012.pdf,Attention and working memory evoke loss of higher-order network structure in OCD,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//Li_Xiao_4by3_15916688856698157.pdf,Improved behavior prediction from brain functional connectivity by CGGL,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OM2020Poster_Rita_v5_15916834886448480.pdf,Structural covariance network degeneration and cognitive decline in stroke,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_15916922830306861.pdf,Investigating the axon-diameter based human brain connectome using MRI,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Altmann_transcriptomics_15916932509662263.pdf,Transcriptomic parcellation of the human brain reflects structure and function,Genetics
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Klöbl_Poster_V1.1_15916941995105044.pdf,Adding positive punishment facilitates learning in fMRI neurofeedback,Learning and Memory
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_Piitulainen_15916951481462088.pdf,Reproducibility of corticokinematic coherence in EEG,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.comet:c208196,Network-targeting in tDCS: inter- and intra-individual variability,Brain Simulation
https://cdn-akamai.6connex.com/645/1827//HBM2020_Poster_20200609_15916982066221172.pdf,Role of Arousal in Choice Conflict Adjustments,undefined
https://cdn-akamai.6connex.com/645/1827//Wei_Zhao_poster_1502_15916998648655659.pdf,A NPE-mutated method to strengthen outcomes of ICA on individual and group level,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Iravani_et._al._OHBM_2020_15917002496412929.pdf,Early Processing of Odor Valence in the Human Olfactory Bulb,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//poster_1039_15917004064519028.pdf,Exploring the brain’s routing strategies by simulating packet-based communicatio,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_poster_Krahe_439_1591700599877792.pdf,Imaging markers of neuropsychiatric profiles in Friedreich ataxia,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_15917078522636377.pdf,Intracranial EEG atlas of human sleep,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_ClaireGreen_221_15917089004283659.pdf,C-Reactive Protein and Brain Structure in Major Depressive Disorder,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Pagani_A0_135x96cm_poster_07_with_youtube_link_15922153581503726.pdf,A cross-species link between mTOR-dependent hyperactivity and functional over-co,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//nighres-ohbm2020_15917132753748585.pdf,Nighres: a python toolbox for high-resolution neuroimaging,Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//massp-ohbm2020_15917133213262646.pdf,Multi-contrast Anatomical Subcortical Structures Parcellation,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//RossMC_OHBM2020_15917130584878582.pdf,Altered Salience Network Functional Organization in Adult Females with PTSD,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//Misaki_OHBM2020_poster_88_15917153957503838.pdf,Longitudinal Connectome-Wide Analysis of the rtfMRI-nf Training Effects in MDD,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Poster_presentation_OHBM2020_82_15917154634581512.pdf,The early postpartum period - History of depression,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//OHBM_RLiegeois2020_1591716306356401.pdf,Revisiting correlation-based FC to compare brain anatomy and function,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM2020MontrealVirtual_MPF_Maps_in_Minimal_Scan_Time_20200614_15921384137465090.pdf,Myelin maps: Macromolecular pool fraction (MPF) using an optimized protocol,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//Olsen_poster_15917173978169208.pdf,Data Visualization for Query by Image Using Modern Javascript,Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//ohbm_poster_15917176110285605.pdf,Resting-State Functional Connectivity in Males with a Supernumerary X-Chromosome,Genetics
https://cdn-akamai.6connex.com/645/1827//MR-Edition_Flyer_15917176608393543.pdf,MR Edition,undefined
https://cdn-akamai.6connex.com/645/1827//Flyer_MagVenture-Integration_2_15917746256943095.pdf,MagVenture Integration,undefined
https://cdn-akamai.6connex.com/645/1827//SIN_poster2_15917203484075602.pdf,Resting State and DTI Imaging of Speech in Noise,Language
https://cdn-akamai.6connex.com/645/1827//SDW_poster_15917214346615033.pdf,Machine Classification of Brain SPECT Images Using Stochastic Discrimination ,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//SDW_poster_15917224694786426.pdf,Complex Singular Value Decomposition for Resting State Imaging,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_RVI_2020_PRINT_15917226725016992.pdf,Translating ENIGMA-Schizophrenia Big Data findings to the Individual: RVI,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//KYManning_HBIResearchDay2020_Poster_15917234266069920.pdf,Linked brain signatures in young children predict pre-reading measures,Language
https://cdn-akamai.6connex.com/645/1827//publications_with_Localite_15917252740222599.pdf,Publications with Localite,undefined
https://cdn-akamai.6connex.com/645/1827//Andrea_Luppi_-_Connectome_Harmonics_poster_OHBM2020_1591725657652853.pdf,Signatures of Consciousness in Anaesthesia and Disorders of Consciousness,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//OHBM-2020-Poster-493-Rostowsky-Irimia_15917263553311883.pdf,Similar Neurodegradation Between Traumatic Brain Injury and Alzheimer's Disease,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Versluis_15917266664382907.pdf,Fast EPI geometry correction: application to fMRI and dMRI,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//poster_OHBM2020_v3_15917500572513031.pdf,Connectome-level connectivity in children with reading disabilities,Language
https://cdn-akamai.6connex.com/645/1827//OHBM_15917286742566866.pdf,Epigenetic signatures of inflammation associate with reductions in brain volume,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Poster_Kagan_et_al_02_15917303613948891.pdf,Infant Regional Corpus Callosum and Forebrain Volumes After Surgery for LGEA,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_SEEK_poster_15918132565543376.pdf,Semi-Automatic SEEG Localization and Interactive Neuroimage Visualization in Epi,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//OHBM_dering_poster_final_15917315285939541.pdf,Deep Convolutional Autoencoder for Reducing Motion Artifacts in Brain MRI Scans,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//PPMI_Connectivity_poster_tlm_AV_15917334506585584.pdf,Frontal and Basal Ganglia Connectivity and Parkinson's Disease Progression,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//PPMI_SWEDD_poster_15917335672015671.pdf,Scans Without Evidence of Dopaminergic Deficiency:A Tractography Study,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM_465_15917358485577800.pdf,Discovering Propagation Pattern of Neurodegeneration across Brain Networks,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM_1526_15917365366346436.pdf,A General Learning-based Framework to Characterize Intrinsic Brain Connectivity,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_1586_1591736787996278.pdf,Characterizing Network Resilience in Alzheimer’s Disease,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_v1.0_JRCK_15917376213006889.pdf,Optimising connectome fingerprinting for neurodevelopment applications,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//ohbm_2020_poster_1100_neuroquery-jerome_dockes_15922316047764948.pdf,NeuroQuery: comprehensive meta-analysis of human brain mapping,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Gaser-HBM2020-Poster_15917422694498564.pdf,Cortical thickness validation using a thickness phantom ,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Sugimoto_OHBM2020_Poster_verFinal_15917442158658799.pdf,Effects of the PICMOR intervention Program on RegionalBrainVolume in OlderAdults,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Altmann_replication_15917456942395623.pdf,Effect of Polygenic Burden on Alzheimer's Disease Pathology and Risk beyond APOE,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//2006_OHBMPoster_BHKIM_15917506108075091.pdf,Graph Neural Network Analysis of Resting-state fMRI,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//poster_15917532247719800.pdf,"Generalizable, reproducible, and interpretable imaging biomarkers for AD",Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//HBM2020_2Poster766_An_fMRI_study_of_late_bimodal_bilinguals_during_story_comprehension_15917695186503649.pdf,An fMRI study of late bimodal bilinguals during story comprehension,Language
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_Amemiya_SLF_15917617084918552.pdf,Structural properties of human SLF lateralization along the lifespan,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_Takemura_Kida_rsEPI_15917623961537749.pdf,Advantage of diffusion MRI with SMS readout-segmented EPI in tractography,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//intrinsic_architecture_of_global_signal_topography_and_its_modulation_by_tasks_15917645934496607.pdf,Intrinsic Architecture of Global Signal Topography and Its Modulation by Tasks,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_2020_15917694167916598.pdf,Four new cytoarchitectonic areas surrounding the primary and early auditory cort,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//PosterHuiXianLi_15917705156583898.pdf,Exploring the Self-Generated Thought During Resting-State with NLP,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//About-Us_15917717703446824.pdf,About Localite,undefined
https://cdn-akamai.6connex.com/645/1827//OHBM_poster_08062020_15917730705589730.pdf,Tracking white matter development in the human fetus,Lifespan Development
