AbsNum,PostNum,Keywords
97,1223,Acetylcholine|Consciousness|Degenerative Disease|FUNCTIONAL MRI|Neurotransmitter|Noradrenaline|RECEPTORS
99,1226,Cognition|Degenerative Disease|Movement Disorder|MRI|Other - Parkinson's disease
100,1246,Degenerative Disease|Modeling|Movement Disorder|MRI|Multivariate|Neurological|Sleep|Smell|STRUCTURAL MRI|Other - Dementia
101,1250,Autism|DISORDERS|FUNCTIONAL MRI|Meta- Analysis|Perception|Psychiatric|Psychiatric Disorders|Taste|Touch|Vision
102,1259,Attention Deficit Disorder|FUNCTIONAL MRI|Pediatric Disorders|Pharmacotherapy|Psychiatric Disorders|Other - functional connectivity
103,1300,FUNCTIONAL MRI|Learning|Memory|Multivariate|Schizophrenia
104,1310,Sub-Cortical|White Matter|Other - cognitive impairment
105,1312,Other - Cerebral Small Vessel Disease, white matter integrity, brain structural network, diffusion tensor imaging
106,1315,Cognition|Language|Memory|Multivariate|Neurological|STRUCTURAL MRI|Other - Stroke
107,1319,ADULTS|DISORDERS|FUNCTIONAL MRI|Other - Glioma
108,1325,MEG|Treatment|Other - Depression
109,1331,Aging|Cognition|Electroencephaolography (EEG)|ELECTROPHYSIOLOGY|Memory
110,1333,Autism|Cerebellum|Language|MRI
111,1334,Cognition|Epilepsy|FUNCTIONAL MRI|Neurological|Other - Dynamic functional connectivity; working memory
112,1341,Acetylcholine|Affective Disorders|Basal Ganglia|Cortex|HIGH FIELD MR|MRI|Myelin|Neurotransmitter|Schizophrenia|STRUCTURAL MRI
113,1345,MRI|Other - Quantitative Susceptibility Mapping (QSM); Amyotrophic Lateral Sclerosis (ALS); Iron; Motor Cortex
114,1352,Machine Learning|MRI|STRUCTURAL MRI|Other - Parkinson’s disease, Olfactory dysfunction
115,1355,Other - Parkinson’s disease, Parkinson’s dementia, regional gene expression, structural connectivity, network topology
116,1357,Other - Parkinson’s disease, visual hallucinations, regional gene expression, structural connectivity, controllability, network control theory
117,1370,Schizophrenia|Other - theory of mind; magnetic resonance imaging; surface area; structural covariance
118,1372,MEG|Psychiatric Disorders|Trauma|Other - PTSD; Resting State
119,1401,Affective Disorders|MEG|Other - bipolar disorder, resting state, graph theory
120,1402,FUNCTIONAL MRI|Psychiatric Disorders|Treatment|Other - Major depression; polyunsaturated fatty acid supplement; eicosapentaenoic acid; docosahexaenoic acid
121,1415,Data analysis|DISORDERS|FUNCTIONAL MRI|MRI
122,1423,ANIMAL STUDIES|Autism|FUNCTIONAL MRI
123,1426,FUNCTIONAL MRI|Other - Bipolar Disorder; Cytokine
124,1430,Autism|Development|DISORDERS|PEDIATRIC|Pediatric Disorders|Other - Motion
126,1437,Emotions|FUNCTIONAL MRI|Pediatric Disorders|Psychiatric Disorders|Social Interactions|Other - Aggression
127,1443,Affective Disorders|FUNCTIONAL MRI|Other - Depression; dynamic functional network connectivity; Personality trait
128,1444,Dopamine|Positron Emission Tomography (PET)
129,1445,MRI|Statistical Methods|STRUCTURAL MRI|Other - Atrophy; Dementia
130,1449,Cerebellum|Cognition|Degenerative Disease|FUNCTIONAL MRI|Movement Disorder|Other - Parkinson's disease, Connectivity
131,1454,Aging|Blood|Computational Neuroscience|Degenerative Disease|FUNCTIONAL MRI|Statistical Methods|Systems
132,1457,Anxiety|FUNCTIONAL MRI|PEDIATRIC|Pediatric Disorders|Psychiatric|Psychiatric Disorders|Social Interactions|Other - Bipolar Disorder; Mood Disorders; High-risk
133,1470,Cognition|Data analysis|Dopamine|Positron Emission Tomography (PET)|RECEPTORS|Other - Parkinson's Disease
134,1471,Aging|FUNCTIONAL MRI|Machine Learning
135,1482,Computational Neuroscience|Data analysis|FUNCTIONAL MRI|Machine Learning|Schizophrenia|Other - Dimensions and Networks
136,1485,Autism|FUNCTIONAL MRI|Other - female protective effect; functional connectivity; polygenic risk; salience network; sex differences
137,1490,ADULTS|Aging|MRI|Neurological|STRUCTURAL MRI|Other - Traumatic Brain Injury
138,1508,Aging|Cognition|Computational Neuroscience|MRI|Positron Emission Tomography (PET)
139,1519,MRI|Myelin|Other - affective temperaments
140,1525,Basal Ganglia|White Matter|Other - stroke, orientational distortion
141,1538,Congenital|Development|Near Infra-Red Spectroscopy (NIRS)|Pediatric Disorders|Other - Congenital Heart Disease, Functional Connectivity, Neurodevelopment, Brain Networks, resting-state, Early Predictive Markers
142,1550,Data Registration|Development|Epilepsy|Migrational Defects|Pediatric Disorders|Statistical Methods|STRUCTURAL MRI
143,1562,Attention Deficit Disorder|Machine Learning|Meta- Analysis|Multivariate|Other - Disruptive Behavior Disorder
144,1572,Affective Disorders|Consciousness|DISORDERS|MRI|Psychiatric Disorders|Other - temporal dynamics
145,1580,Degenerative Disease|FUNCTIONAL MRI|Morphometrics|STRUCTURAL MRI|Other - APOE e4-carriers; Default Mode Network
147,1603,FUNCTIONAL MRI|Machine Learning|MRI|Psychiatric|Psychiatric Disorders|Schizophrenia|STRUCTURAL MRI|Other - Network neuroscience
149,1611,ANIMAL STUDIES|Autism|Development|DISORDERS|Experimental Design|FUNCTIONAL MRI|Magnetic Resonance Spectroscopy (MRS)|Schizophrenia|STRUCTURAL MRI|Other - environmental risk factors
150,1621,Machine Learning|MRI|Psychiatric|Psychiatric Disorders|Schizophrenia
151,1629,Aging|Cortex|Degenerative Disease|FUNCTIONAL MRI|Other - Vascular risk factors
152,1641,Cognition|Emotions|FUNCTIONAL MRI|Limbic Systems|Meta- Analysis|Sub-Cortical|Other - aggression
153,1645,Affective Disorders|Eating Disorders|PEDIATRIC|Psychiatric|Other - depression; obesity; loss of control eating; reward processing; youth
154,1646,Degenerative Disease|FUNCTIONAL MRI|Other - Urodynamic Voiding
155,1651,Development|FUNCTIONAL MRI|PEDIATRIC
156,1663,Aging|Computational Neuroscience|Development|DISORDERS|Neurological|PEDIATRIC|STRUCTURAL MRI|Trauma|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other
157,1668,Addictions
158,1669,Cognition|Computational Neuroscience|Development|Language|Motor|MRI|PEDIATRIC|Tractography|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
159,1671,Autism|Other - Heterogeneity
160,1672,Addictions|Attention Deficit Disorder|Autism|Schizophrenia|Other - Depression
161,1673,Aging|Degenerative Disease|FUNCTIONAL MRI|Sub-Cortical
162,1676,Attention Deficit Disorder|Computational Neuroscience|Machine Learning|Modeling|STRUCTURAL MRI
163,1679,Aging|ANIMAL STUDIES|Cerebellum|Degenerative Disease
164,1683,Other - depression; ketamine; connectivity
165,1692,Attention Deficit Disorder|Autism|Cortex|Meta- Analysis|MRI|STRUCTURAL MRI|Other - cortical gyrification
166,1693,Cognition|Epilepsy|FUNCTIONAL MRI|Language|Neurological|Other - Working memory; functional gradients
167,1698,FUNCTIONAL MRI|Learning|Memory|Psychiatric Disorders|Schizophrenia|Other - functional connectivity
168,1705,Attention Deficit Disorder|FUNCTIONAL MRI|Pediatric Disorders|Other - Topological Data Analysis
169,1711,Computational Neuroscience|Data analysis|Degenerative Disease|FUNCTIONAL MRI|Meta- Analysis|Modeling|Multivariate|Neurological|Statistical Methods|Other - Network
170,1715,Cerebellar Syndromes|Cerebellum|Demyelinating|Motor|MRI|Myelin|PEDIATRIC|Pediatric Disorders
172,1718,Epilepsy|PEDIATRIC|Pediatric Disorders
173,1722,FUNCTIONAL MRI|Morphometrics|MRI|Perception|Psychiatric|Schizophrenia|STRUCTURAL MRI|Other - Hallucination
174,1727,Degenerative Disease|Dopamine|FUNCTIONAL MRI|Movement Disorder|Other - Parkinson's disease
175,1735,Eating Disorders|Social Interactions
176,1738,Psychiatric Disorders|Schizophrenia|Structures|Other - Heterogeneity
177,1743,DISORDERS|Machine Learning|Modeling|Psychiatric|Psychiatric Disorders|Trauma
178,1759,Morphometrics|MRI|STRUCTURAL MRI|Other - Hippocampal Subfield; Post-Stroke Dementia
179,1760,Cerebrovascular Disease|Experimental Design|MRI
180,1765,Aging|Degenerative Disease|Machine Learning|MRI|Multivariate|Segmentation
181,1769,MRI|Other - biomarker; Alzheimer's disease, Computer-aided diagnosis; Neurobiological basis
182,1771,Cerebral Blood Flow|FUNCTIONAL MRI|Other - subjective cognitive decline
183,1776,Addictions|Development|PEDIATRIC|STRUCTURAL MRI|Other - prenatal methamphetamine exposure
184,1781,Autism|Other - dynamic intergation
185,1794,Schizophrenia|Other - Polygenic Risk Score, Broca's area
186,1796,Aging|Degenerative Disease|Electroencephaolography (EEG)|Meta- Analysis|Other - Mild cognitive impairment; Oscillations
187,1798,DISORDERS|FUNCTIONAL MRI|Machine Learning
189,1802,Affective Disorders|DISORDERS|FUNCTIONAL MRI|Machine Learning|Psychiatric Disorders|Statistical Methods|Other - Depression
190,1808,DISORDERS|Electroencephaolography (EEG)|FUNCTIONAL MRI|Psychiatric|Sleep|Thalamus|Other - Insomnia
191,1814,Computational Neuroscience|FUNCTIONAL MRI|Machine Learning|Psychiatric Disorders|Other - Generative Adversarial Network(GAN)
192,1816,Basal Ganglia|Data analysis|Degenerative Disease|Dopamine|Movement Disorder|MRI|Segmentation|Sleep|STRUCTURAL MRI|Other - Quantitative Susceptibility Mapping
193,1818,Machine Learning|Psychiatric Disorders|Other - Deep Learning, Classification
194,1823,Anxiety|MRI|Schizophrenia
195,1824,Basal Ganglia|Computational Neuroscience|Data analysis|Degenerative Disease|MRI|White Matter|Other - Anomaly detection
196,1826,Autism|STRUCTURAL MRI|Other - Polygenic risk score, gyrification, surface area
197,1830,Affective Disorders|FUNCTIONAL MRI|Pharmacotherapy|Psychiatric Disorders|Treatment|Other - SSRI
198,1833,ADULTS|Infections|STRUCTURAL MRI
199,1844,ADULTS|Obessive Compulsive Disorder|STRUCTURAL MRI
200,1845,DISORDERS|Epilepsy|FUNCTIONAL MRI|Other - White-matter functional networks
201,1848,Aging|Cerebrovascular Disease|Degenerative Disease|FUNCTIONAL MRI|MRI|Neurological|Other - CAA; cerebral amyloid angiopathy
202,1859,Aging|Cerebrovascular Disease|Data analysis|Neurological|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Tract-Based Spatial Statistics (TBSS)
203,1860,Affective Disorders|Computational Neuroscience|Psychiatric Disorders|Other - reward
204,1861,Psychiatric Disorders|STRUCTURAL MRI|Trauma|Other - Replication
205,1865,Degenerative Disease|Dopamine|Machine Learning|Motor|Movement Disorder|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
206,1867,Autism|FUNCTIONAL MRI|Other - Motion tracking; Intersubject connectivity
207,1873,ADULTS|Cortex|Degenerative Disease|Motor|NORMAL HUMAN|STRUCTURAL MRI|Trauma
208,1874,MRI|Psychiatric|STRUCTURAL MRI|Other - Higher-order Psychopathology
209,1883,Degenerative Disease|Demyelinating|FUNCTIONAL MRI|Morphometrics|Thalamus|Other - Multiple sclerosis
210,1892,Attention Deficit Disorder|FUNCTIONAL MRI|STRUCTURAL MRI|Other - Methylphenidate
211,1898,Other - Amyotrophic lateral sclerosis, Independent component analysis, Intra-network resting-state functional magnetic resonance imaging, Resting-state networks
212,1900,Machine Learning|Morphometrics|Psychiatric Disorders|STRUCTURAL MRI|Sub-Cortical|Other - Bipolar disorders; Diagnositic classification
213,1901,FUNCTIONAL MRI|Memory|Other - Parkinson disease
214,1905,Aging|Degenerative Disease|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
215,1909,Cognition|Degenerative Disease|HIGH FIELD MR|Memory|Movement Disorder|MRI|STRUCTURAL MRI|Thalamus|Other - multiple sclerosis
216,1910,MRI|Multivariate|Psychiatric Disorders|Schizophrenia
217,1913,Brainstem|Degenerative Disease|HIGH FIELD MR|Movement Disorder|MRI|Neurological|Other - Parkinson's Disease
218,1914,Computational Neuroscience|Machine Learning|Positron Emission Tomography (PET)
219,1919,Computational Neuroscience|Data analysis|Degenerative Disease|Modeling|Positron Emission Tomography (PET)
220,1933,Cognition|Statistical Methods|STRUCTURAL MRI|Other - Genetics
221,1940,Affective Disorders|Data analysis|MRI|Psychiatric|Psychiatric Disorders|STRUCTURAL MRI|Sub-Cortical
223,1955,Attention Deficit Disorder|NORMAL HUMAN|Psychiatric|Psychiatric Disorders
224,1974,Cognition|FUNCTIONAL MRI|Headache|Neurological|Psychiatric Disorders|Other - Mild Traumatic Brain Injury
225,1983,Aging|Data analysis|DISORDERS|FUNCTIONAL MRI
226,1986,Development|Morphometrics|MRI|PEDIATRIC|Pediatric Disorders|STRUCTURAL MRI|Toxins|Other - infant
227,2003,Degenerative Disease|STRUCTURAL MRI|Other - structural covariance network；Granger Causality
228,2005,ADULTS|Affective Disorders|Cognition|Cortex|FUNCTIONAL MRI|Memory|Meta- Analysis|Psychiatric|Psychiatric Disorders|Schizophrenia
229,2020,Addictions|Treatment
230,2023,FUNCTIONAL MRI|Other - Major depressive disorder, Functional connectivity, Visual network, Auditory network
231,2026,Aphasia|STRUCTURAL MRI
232,2027,Degenerative Disease|FUNCTIONAL MRI|STRUCTURAL MRI|Other - Frontotemporal Dementia; Biomarkers; functional connectivity; GRN
233,2028,Autism|FUNCTIONAL MRI|Other - Co-activation patterns
234,2038,Aging|Data analysis|MRI|Myelin|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Alzheimer's disease
235,2050,Aging|Computational Neuroscience|Degenerative Disease
236,2054,Affective Disorders|FUNCTIONAL MRI|Psychiatric Disorders|Other - victim sensitivity, major depressive disorder, dorsolateral prefrontal cortex, fractional amplitude of low-frequency fluctuation, resting-state fMRI
237,2055,Basal Ganglia|DISORDERS|Dopamine|Psychiatric|Psychiatric Disorders|Schizophrenia|Sub-Cortical|Other - Randomised Control trial
238,2070,Meta- Analysis|Other - Major Depressive Disorder
239,2071,Autism|Cortex|STRUCTURAL MRI
240,2084,FUNCTIONAL MRI|Vision
241,2086,Obessive Compulsive Disorder|Psychiatric Disorders|Structures|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
242,2087,Aging|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
243,2091,Cortex|MRI|Psychiatric Disorders|Schizophrenia|STRUCTURAL MRI|Structures|Other - endophenotypes
244,2097,Addictions|FUNCTIONAL MRI
245,2098,Autism|FUNCTIONAL MRI
246,2107,Cognition|FUNCTIONAL MRI|MRI|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
247,2108,FUNCTIONAL MRI|Schizophrenia|Other - resting-state fMRI; thalamocortical dysconnectivity
248,2116,Cognition|Degenerative Disease|Sleep|STRUCTURAL MRI|Other - REM sleep behavior disorder; dementia; Parkinson's disease
249,2142,Cognition|Degenerative Disease|Demyelinating|FUNCTIONAL MRI|MRI|Neurological|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Multiple sclerosis
250,2146,PEDIATRIC|Pediatric Disorders|STRUCTURAL MRI|Trauma|Other - Traumatic brain injury, non-sedated MRI
251,2147,Aging|Machine Learning|MRI|Schizophrenia|STRUCTURAL MRI|Other - epigenetics ; methylation DNA
252,2150,Cortex|Degenerative Disease|Morphometrics|MRI|Sub-Cortical|Other - Parkinson's Disease
253,2151,Cognition|Cortex|Degenerative Disease|MRI|MRI PHYSICS|STRUCTURAL MRI|Other - Parkinson's disease; Quantitative susceptibility mapping; Dementia
254,2157,Affective Disorders|Cortex|Emotions|FUNCTIONAL MRI|Limbic Systems|MRI|Psychiatric Disorders|Schizophrenia|Sub-Cortical|Thalamus
255,2166,Aging|Brainstem|Degenerative Disease|FUNCTIONAL MRI|Movement Disorder|MRI|Noradrenaline|Seretonin|STRUCTURAL MRI|Other - Neuromelanin imaging
257,2178,Addictions|FUNCTIONAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
258,2179,Epilepsy|MEG|Other - functional network; epileptogenic network
259,2181,Autism|Statistical Methods|STRUCTURAL MRI|Other - connectomics
260,2184,Addictions|FUNCTIONAL MRI|Psychiatric Disorders|Other - Neurofeedback
261,2191,Attention Deficit Disorder|FUNCTIONAL MRI|Machine Learning|Multivariate|STRUCTURAL MRI
262,2194,Anxiety|Cognition|FUNCTIONAL MRI
263,2208,White Matter|Other - Multiple System Atrophy; Diagnosis; Tractography; Volumetry
265,2227,Meta- Analysis|MRI|Psychiatric Disorders|Other - Compensations
266,2228,Epilepsy|Machine Learning|STRUCTURAL MRI|Other - Bayesian Deep Learning
267,2237,ADULTS|Aging|Degenerative Disease|FUNCTIONAL MRI|Other - Alzheimer's disease
268,2241,Autism|Development|Limbic Systems|MRI|Psychiatric Disorders|STRUCTURAL MRI|Sub-Cortical|Other - socioeconomic status
269,2258,Computational Neuroscience|DISORDERS|MRI|Multivariate|Sub-Cortical|Other - DAT
270,2265,Other - obesity
271,2267,ELECTROPHYSIOLOGY|Machine Learning|Movement Disorder
272,2273,Multivariate|Psychiatric Disorders|STRUCTURAL MRI|Systems|Other - Clinical-anatomical phenotypes; Psychotic symptom dimensions; Schizophrenia
274,2277,ADULTS|Cognition|Computational Neuroscience|Computing|Degenerative Disease|DISORDERS|Electroencephaolography (EEG)|Machine Learning|Source Localization|Other - Dementia
276,2299,MRI|Plasticity|Spinal Cord|STRUCTURAL MRI|Tractography|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - rehablitation; recovery; longitudinal
277,2316,Computational Neuroscience|FUNCTIONAL MRI|Informatics|Multivariate|Psychiatric Disorders|Treatment|Univariate|Workflows|Other - Containerization
278,2323,Epilepsy|MRI|Positron Emission Tomography (PET)|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Network Control Theory
