Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
28	Optimal Rotation Angles of Permanent Magnets for Transcranial Static Magnetic Stimulation	Jimin	Park	Hanyang University	Brain Stimulation	Non-invasive Magnetic/TMS
29	Functional Connectivity Alterations with the Target: A Combined Resting-state fMRI-TMS study	Tingting	Zhu	Institutes of Psychological Sciences, Hangzhou Normal University	Brain Stimulation	TMS
30	Hyperdirect Pathway DBS Reduces the Current Necessary for Direct Cortical Stimulation MEPs	Kurt	Weaver	University of Washington	Brain Stimulation	Deep Brain Stimulation
31	Modulating Operator Vigilance with Transcranial Direct Current Stimulation (tDCS)	E. Susan	Duncan	Louisiana State University	Brain Stimulation	TDCS
32	The effects of rTMS on resting-state function connectivity in obese adults	Sehong	Kim	The Catholic University of Korea	Brain Stimulation	TMS
33	Effects of bifrontal tDCS on brain metabolites in patients with MDD and healthy controls	Eva	Mezger	University Hospital LMU Munich	Brain Stimulation	TDCS
34	Patient-Specific Parcellations of DBS target structures at 7Tesla	Remi	Patriat	University of Minnesota	Brain Stimulation	Deep Brain Stimulation
35	Associations of grey matter volume and acute tDCS effects, shown by metabolite concentration changes	Lucia	Bulubas	Psychiatry Department, University Hospital, LMU Munich	Brain Stimulation	TDCS
36	Correlation of fMRI with direct electrical stimulation in patients with left side brain gliomas	Steren	Chabert	Universidad de Valparaiso	Brain Stimulation	Direct Electrical/Optogenetic Stimulation
37	Concurrent TMS/fMRI demonstrates direct sgACC target engagement	Martin	Tik	Medical University of Vienna	Brain Stimulation	Non-invasive Magnetic/TMS
38	Effect of Transcranial Direct Current Stimulation in the first weeks after stroke: preliminary study	Marcela	Takahashi	Instituto de Ensino e Pesquisa Albert Einstein	Brain Stimulation	TDCS
39	Cognitive Training with Information Based Neuromodulation to Enhance Working Memory	Heather	Whittaker	McGill University	Brain Stimulation	TMS
40	Multimodal Language Mapping in Pre-Surgical Planning	Anna-Lisa	Schuler	Medical University of Vienna	Brain Stimulation	Non-invasive Magnetic/TMS
41	Probing the brain state with EEG phase-driven transcranial magnetic stimulation	Ivan	Alekseichuk	University of Minnesota	Brain Stimulation	Non-invasive Magnetic/TMS
42	Transcranial Magnetic Stimulation Modulates Glutamate/Glutamine Levels in Young Adults with Autism	Iska	Moxon-Emre	The Centre for Addiction and Mental Health	Brain Stimulation	Non-invasive Magnetic/TMS
43	Assessment of beta dynamical characteristics between OFF and ON medication conditions in Parkinson’s	Saed	Khawaldeh	University of Oxford	Brain Stimulation	Deep Brain Stimulation
44	Acoustic Simulation to Understand Variability in Transcranial Ultrasound of Motor Cortex	Ian	Heimbuch	UCLA	Brain Stimulation	Sonic/Ultrasound
45	MRS and TMS Measurements Predicting Responses Following Non-Invasive Brain Stimulation of M1	Jean-Marc	Therrien-Blanchet	Université de Montréal	Brain Stimulation	TMS
46	Subthalamic nucleus activity dynamics and limb movement prediction in Parkinson’s disease	Saed	Khawaldeh	University of Oxford	Brain Stimulation	Deep Brain Stimulation
47	Toward State-of-the-Art Connectivity-Guided TMS: Personalization, Precision & Clinical Response	Robin	Cash	University of Melbourne	Brain Stimulation	TMS
48	Automated functional mapping of the thalamus and DBS lead localization in essential tremor.	James	Gee	University of Minnesota	Brain Stimulation	Deep Brain Stimulation
49	Simulated electric field during prefrontal tDCS in mood disorders and schizophrenia	Shun	Takahashi	Wakayama Medical University	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
50	Assessing the integrity and reorganization of the visual system after stroke by means of TMS-EEG	Caroline	Tscherpel	University Hospital Cologne	Brain Stimulation	Non-invasive Magnetic/TMS
51	Improving cortical language mapping by means of paired-pulse and high-frequent repetitive TMS	Charlotte	Nettekoven	University Hospital of Cologne	Brain Stimulation	TMS
52	Modulation of aggression by prefrontal transcranial direct current stimulation	Carmen	Weidler	University Hospital RWTH Aachen	Brain Stimulation	TDCS
53	Does tDCS induced GABA change depend on the participant specific electric field in M1?	Tulika	Nandi	University of Oxford	Brain Stimulation	TDCS
54	Impact of sham TMS periodical auditory stimulation on cortical oscillations and visual detection	Chloé	Stengel	Institut du Cerveau et de la Moelle epiniere (ICM), Paris, France	Brain Stimulation	TMS
55	BEST Toolbox: Brain Electrophysiological recording & STimulation Toolbox	Umair	Hassan	Deutsches Resilienz Zentrum, Mainz, Germany	Brain Stimulation	TMS
57	Neurofeedback Training for Optimizing Archer’s Performance	Poyu	Chen	Department of Occupational Therapy, Chang Gung University	Brain Stimulation	Non-Invasive Stimulation Methods Other
58	The effect of short-term arm immobilization on intracortical inhibition and motor skill learning	Erin	King	Emory University	Brain Stimulation	TMS
59	Measuring change in memory networks after targeted repetitive transcranial magnetic stimulation	Connor	Phipps	University of Nebraska Medical Center	Brain Stimulation	Non-invasive Magnetic/TMS
60	An optimization approach to TMS targeting of functional ROIs informed by field modelling	Jerrold	Jeyachandra	Centre for Addiction and Mental Health	Brain Stimulation	TMS
61	The impacts of theta-burst stimulation on structural connectome in autism spectrum disorder	Hsing-Chang	Ni	Chang Gung Memorial Hospital	Brain Stimulation	Non-invasive Magnetic/TMS
62	Frontal and Temporal tDCS Modulate Different Networks During Simultaneous tDCS+fMRI	Amber	Leaver	Northwestern University	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
63	Inverse Mapping of Muscles and Synergies using TMS and Neural Networks	Md Navid	Akbar	Northeastern University	Brain Stimulation	Non-invasive Magnetic/TMS
64	Assessing Brain Network Effects of Targeted Transcranial Direct Current Stimulation	Danielle	Nadin	McGill University	Brain Stimulation	TDCS
65	Pre-stimulus high and low beta phase coherence modulates the impact of TMS entrainment	Adrien	Martel	Institut du Cerveau et de la Moelle Epiniere (ICM)	Brain Stimulation	Non-invasive Magnetic/TMS
66	Value of MRI based biophysical models of cortical tDCS fields in primary progressive aphasia	Clara	Sanches	Institut du Cerveau et de la Moelle Epinière	Brain Stimulation	TDCS
68	Inducing Plasticity in the PPC-M1 Network with Corticocortical Paired-Associative Stimulation	Ke	Zeng	Krembil Brain Institute	Brain Stimulation	Non-invasive Magnetic/TMS
69	Entrainment of theta oscillations with visual rhythmic stimulation boosts auditory working memory	Philippe	Albouy	Laval University	Brain Stimulation	Non-Invasive Stimulation Methods Other
70	TMS Mapping using Active Inference for Spatial Sampling via User Guidance and Gaussian Processes	Mathew	Yarossi	Northeastern University	Brain Stimulation	TMS
71	Association of higher right thalamus functional connectivity with the emergence of ADHD in children	Felipe	Almeida Picon	Universidade Federal do Rio Grande do Sul	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
72	Effect of Polygenic Burden on Alzheimer's Disease Pathology and Risk beyond APOE	Andre	Altmann	University College London	Disorders of the Nervous System	
73	Hippocampus connectivity mediates the association between acceptance and PTSD symptom severity	Wi Hoon	Jung	Daegu University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
74	Voxel-Based Quantitative MRI reveals spatial patterns of grey matter alteration in MultipleSclerosis	Christophe	Phillips	University of Liege	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
75	Pre-operative local brain volumes predict outcome of subcallosal cingulate DBS for depression	Gavin	Elias	University Health Network	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
76	Dissociating trait and state anxiety effects on mismatch negativity and sensory gating ERPs	Vasileios	Ioakeimidis	City, University of London	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
77	Functional connectivity gradients of the striatum in schizotypy and first-episode psychosis	Marianne	Oldehinkel	Monash University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
78	An fMRI Study on Developmental differences between children and adults with ADHD	Li-Ying	Fan	National Taipei University of Education	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
79	Mechanisms underlying speech production in patients with cerebellar stroke damage	Sharon	Geva	UCL	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
80	Simultaneous associations of brain volume with depression symptoms and urban environment features	Liliana	Garcia Mondragon	Max Planck Institute of Psychiatry	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
81	Structural Connectivity Deficits Following Therapeutic Hypothermia for Neonatal Encephalopathy	Arthur	Spencer	University of Bristol	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
82	The early postpartum period — differences between women with and without a history of depression	Patricia	Schnakenberg	Uniklinik RWTH Aachen	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
83	Linked Independent Component Analysis for Treatment Response in Schizophrenia	Tess	Verneuil	King’s College London, Institute of Psychiatry, Psychology and Neuroscience	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
84	Adjusting for Allometric Scaling in ABIDE I Challenges Subcortical Volume Differences in Autism	Camille	WILLIAMS	École Normale Supérieure	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
85	Investigating changes to glutamate and GABA in gender dysphoria	Benjamin	Spurny	Department of Psychiatry and Psychotherapy, Medical University of Vienna, Austria	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
86	Association between Cerebral Blood Flow and White Matter Signal Abnormalities in MCI	Chanmie	Kim	MGH/MIT/HMS Athinoula A. Martinos Center for Biomedical Imaging	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
87	Activity flow models reveal the role of schizophrenia network abnormalities in cognitive activation	Luke	Hearne	Rutgers University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
88	Longitudinal Connectome-Wide Analysis of the Real-time fMRI Neurofeedback Training Effects in MDD	Masaya	Misaki	Laureate Institute for Brain Research	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
89	RS-fMRI in the Assessment of the Functional State of the Brain in Patients with Opioid Addiction	Dmitriy	Tarumov	S.M.Kirov Military Medical Academy	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
90	Shared & unique network features predict cognition, mental health and personality in childhood	Jianzhong	Chen	National University of Singapore	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
91	Neuroimaging predicts personalized motor function after perinatal stroke: A machine learning study	Helen	Carlson	University of Calgary	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
92	Cognitive impairment resting-state fMRI markers in elderly	Karen	Aguilar Mateu	Cuban Center for Neuroscience	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
93	Dynamic functional connectivity and dopaminergic treatment in Parkinson’s disease	María	Díez-Cirarda	CAMH	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
94	Accounting for motion in fMRI: What part of the spectrum are we characterizing in autism and ADHD?	Mary Beth	Nebel	Kennedy Krieger Institute	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
95	Mild Traumatic Brain Injury Patients Exhibit Alterations in Cortical Lamination Patterns	Omri	Tomer	Tel Aviv University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
96	Effect of initial concentrations on a computational model of tau aggregation in tauopathies	Arsalan	Rahimabadi	Concordia University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
97	Dynamic fMRI gives insight into neuromodulatory basis of fluctuating cognition in Lewy body dementia	Elie	Matar	University of Sydney	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
99	Progression of Cortical Thinning in Parkinson's Disease	Andrew	Vo	Montreal Neurological Institute	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
100	A multimodal computational model of Parkinson’s disease progression enriched for dementia risk	Louise	Leyland	UCL	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
101	Sensory perception in autism: An ALE meta-analysis of task-based fMRI studies	Nazia	Jassim	University of Cambridge	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
102	Resting-state fMRI correlates of clinical response to stimulants in youth with ADHD	Victor	Pereira-Sanchez	NYU Langone	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
103	Multivariate Autoregressive Models reveal altered directional network interactions in schizophrenia	Shahira	Baajour	Wayne State University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
104	A DTI Study in Subcortical Vascular Mild Cognitive Impairment with or without Depressive Symptoms	Ziyun	Xu	Institute of Biomedical and Health Engineering, Shenzhen Institutes of Advanced Technology	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
105	Reduced Microstructural Integrity and Altered Structural Network in Cerebral Small Vessel Disease	Mingxian	Zhang	South China Normal University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
106	Degeneration of Structural Brain Networks is Associated with Cognitive Decline after Ischemic Stroke	Hsiao-ju	Cheng	National University of Singapore	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
107	Genetic, Cellular and Topological Characterization of Human Brain Regions Commonly Plagued by Glioma	Ayan	Mandal	University of Cambridge	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
108	Electrophysiological connectivity following ketamine infusion in healthy and depressed volunteers	Allison	Nugent	NIMH	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
109	Improved Memory-related Gamma Rhythms in Origami but not Reading Intervention among Older Adults	Yang	Jiang	University of Kentucky	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
110	The association of brain volumes with early life outcome in the Developing Human Connectome Project	Oliver	Gale-Grant	King's College London	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
111	Tracking network mechanisms of executive dysfunction in epilepsy: a task-based dynamic fMRI analysis	Lorenzo	Caciagli	University of Pennsylvania	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
112	Myelin Imaging of the Cholinergic System in First-Episode Psychosis	Min Tae	Park	Western University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
113	Quantitative susceptibility mapping in the motor cortex in limb-onset Amyotrophic Lateral Sclerosis	Anjan	Bhattarai	Monash University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
114	Diagnosis of Parkinson’s disease with convolutional neural network	Jie	Mei	University of Quebec at Trois-Rivieres	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
115	Structural connectivity loss & regional gene expression explain dementia risk in Parkinson's disease	Angeliki	Zarkali	University College London	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
116	Network controllability and regional gene expression explain visual hallucinations in Parkinson’s	Angeliki	Zarkali	University College London	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
117	Surface area covariance in the mentalizing network: Insight into social cognition in schizophrenia	Delphine	RAUCHER-CHENE	Douglas Mental Health University Institute, McGIll University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
118	Changes in Resting-State MEG Spectral Power and Connectivity from Combat Related PTSD	Zoë	O'Brien-Moran	IWK Hospital / BIOTIC	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
119	The frequency-specific resting connectome in bipolar disorder: A MEG study	Masakazu	Sunaga	Gunma University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
120	Inverse correlation between omega-3 concentration and emotional brain response on major depression	Cheng-Hao	Tu	Graduate Institute of Acupuncture Science, China Medical University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
121	Characteristic functional Traits of Mild cognitive impairment in Parkinson’s disease	Vicente	Ferrer Gallardo	Basque Center on Cognition Brain and Language	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
122	A cross-species link between mTOR-dependent hyperactivity and functional over-connectivity in autism	Marco	Pagani	Istituto Italiano di Tecnologia	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
123	Cytokines levels reflect the disrupted functional connectivity in patients with bipolar disorder	Haishan	Yuan	South China Normal University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
124	Implementation of a pre- and in-scan system to reduce head motion in pediatric participants with ASD	Corey	Horien	Yale University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
126	Neural processing and interpretation of physical social interaction in disruptive behavior disorders	Anne	Martinelli	Fresenius University of Applied Sciences	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
127	Personality Traits are related with Dynamic Functional Connectivity in Major Depression Disorder	Xinran	Wu	The Institute of Science and Technology for Brain-inspired Intelligence (ISTBI), Fudan University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
128	Extra-Striatal Dopamine in Parkinson’s Disease with Rapid Eye Movement Sleep Behaviour Disorder	Mikaeel	Valli	CAMH	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
129	Redundant and Complementary Information in Visual Ratings and Volumetric Measures of Atrophy	Patric	Wyss	UPD	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
130	Resting state functional connectivity of cerebellar networks in Parkinson’s disease	William	Palmer	University of Washington	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
131	Functional brain networks are associated with blood neurofilament light chain in Alzheimer disease	Muriah	Wheelock	Washington University in St. Louis	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
132	Functional neural correlates of social ostracism in anxious youth at high risk for bipolar disorder	Rose Marie	Larios	UT Health SA	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
133	Graph theory analysis of dopamine D2 network in Parkinson's disease patients with cognitive decline	Alexander	Mihaescu	Centre for Addiction and Mental Health	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
134	Applying CARE index Model for Identifying Individual Patient Progressing to Alzheimer’s Disease	Xiang	Lu	Southeast University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
135	Linking schizophrenia symptom dimensions to neural processes by multivariate pattern prediction	Ji	Chen	Research Centre Juelich	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
136	Effect of Polygenic Risk for Autism on Salience Network Functional Connectivity	Katherine	Lawrence	University of California, Los Angeles	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
137	Impact of Brain Injury on Dementia: Preliminary Results from a Pakistani Cohort	Maheen	Adamson	DVBIC, VA Palo Alto/Stanford School of Medicine	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
138	Modeling Cognitive Scores from Normal Aging to Alzheimer’s Disease Based on structural MRI and PET	Seyed Hani	Hojjati	University of Tennessee Health Science Center	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
139	Cortical myelination patterns of bipolar disorder related affective temperaments	Yidan	Qiu	South China Normal University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
140	The geometric microstructural damage of white matter with functional compensation in stroke patients	Haichao	Zhao	Beihang University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
141	Functional Brain Networks and Neurodevelopmental Outcomes in Children with Congenital Heart Disease	Sarah	Provost	Université de Montréal	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
142	Detecting tissue abnormalities in childhood epilepsy with developmental models of clinical MRI	Jonathan	O'Muircheartaigh	King's College London	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
143	Unveiling the comorbidity between DBD and ADHD: Combined meta-analyses and predictive modeling	Ting-Yat	Wong	National University of Singapore	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
144	Temporal dynamic variations during rumination: a reproducible fMRI study	Xiao	Chen	Institute of Psychology, CAS	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
145	Patterns of default mode network co-activation in young APOE ε4-carriers: an HCP replication study	Lara	Mentink	Radboud University Medical Center	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
147	FMRI connectivity distinguishes psychosis cases and controls with replicable, interpretable features	Sarah	Morgan	Cambridge University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
149	A longitudinal, multimodal investigation of maternal immune activation in mice	Lani	Cupo	McGill University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
150	Multi-scale feature reduction and semi-supervised learning for parsing neuroanatomical heterogeneity	Junhao	WEN	CBICA	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
151	Changes in functional connectivity associated with vascular burden in person at-risk of AD	Theresa	Köbe	McGill University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
152	Neural dysfunctions in antisocial spectrum: a meta-analysis of fMRI studies on 5 research domains	Jules	Dugre	Institut Universitaire en Sant Mentale de Montreal	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
153	Neural Processing of Monetary Reward in Youth with Depression, Obesity, and Loss of Control Eating	Kelsey	Hagan	Stanford University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
154	Comparison of voiding networks during urodynamic task and rest at 7T MRI in Multiple Sclerosis women	Zhaoyue	Shi	Houston Methodist Research Institute	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
155	The Role of Parental BMI on the Dorsolateral Prefrontal Cortex Food Cue Reactivity in Children	Shan	Luo	University of Southern California	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
156	Structural Connectome in Pediatric Mild Head and Orthopedic Injury Compared to Typical Development	Ashley	Ware	University of Calgary	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
157	The link between psychopathy, corticostriatal connectivity and crime in methamphetamine use disorder	Milky	Kohno	Oregon Health and Science University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
158	Diffusion MRI at Term and Prediction of Neurodevelopment at Three Years in Very Preterm Infants	Milan	Parikh	Cincinnati Children's Hospital Medical Center	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
