url,title,category,matched_title,number
https://cdn-akamai.6connex.com/645/1827//OHBM_LX_1566_15913277603548841.pdf,Applying CARE index  model for Identifying Individual Patient Progressing to AD,Disorders of the Nervous System,Applying CARE index Model for Identifying Individual Patient Progressing to Alzheimerâ€™s Disease,134
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_Zaixu_15913327941503348.pdf,Individual Variation in Functional Topography of Association Networks in Youth,Lifespan Development,Individual Variation in Functional Topography of Association Networks in Youth,1798
https://cdn-akamai.6connex.com/645/1827//poster_522_MBT_ohbm_2020_15913375150498247.pdf,Social perspective taking shapes brain hemodynamic activity and eye-movements,"Emotion, Motivation and Social Neuroscience",Social perspective taking shapes brain hemodynamic activity and eye-movements during movie viewing,522
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_2020_Burin_15918388827371344.pdf,Virtual training leads to real cognitive benefits,undefined,"Virtual training leads to real acute physical, cognitive and neural benefits on healthy adults.",636
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15922340091267382.pdf,The DataLad Handbook,Neuroinformatics and Data Sharing,The DataLad Handbook: A user-focused and workflow-based addition to standard software documentation,1914
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_고나연_final_15913433927354341.pdf,Lesion Locations Related with Recovery of Post stroke Dysphagia,Disorders of the Nervous System,Lesion Locations Related with Recovery of Post-stroke Dysphagia,1800
https://cdn-akamai.6connex.com/645/1827//OHBM2020_ePoster_Prakash_et_al_15913439811701656.pdf,Longitudinal tracking of Alzheimer's disease and multi-modal regression models,Modeling and Analysis Methods,Longitudinal tracking of Alzheimer's disease enabled by multi-modal regression models,1150
https://cdn-akamai.6connex.com/645/1827//ZR_Opt_Flow_MREG_OHBM2020_1591879998290514.pdf,Cardiovascular Brain Impulse in Alzheimer's Disease,Disorders of the Nervous System,Cardiovascular Brain Impulse in Alzheimer's Disease,333
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_15913549837499151.pdf,Inputs at the optimum phase of beta oscillations accelerate synaptic transmissio,"Physiology, Metabolism and Neurotransmission ",Inputs at the optimum phase of beta cortical oscillations accelerate cortical synaptic transmission,20
https://cdn-akamai.6connex.com/645/1827//poster_AA_15921477408865496.pdf,Improving the Functional Alignment of fMRI Data Using Spatial Brain Information,Modeling and Analysis Methods,How to Improve the Functional Alignment of fMRI Data Using Spatial Brain Information?,1120
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_-_Marturano_15913612114005863.pdf,Probability to Detect an N2pc ERP Component in Individual EEG Datasets,Modeling and Analysis Methods,Probability to Detect an N2pc ERP Component in Individual EEG Datasets,1489
https://cdn-akamai.6connex.com/645/1827//Building_a_Rare_Disease_Database_for_Natural_History_Studies_15913630295269438.pdf,Building a Rare Disease Database for Natural History Studies,Neuroinformatics and Data Sharing,Building a Rare Disease Database for a Natural History Study of 4H Leukodystrophy,1931
https://cdn-akamai.6connex.com/645/1827//DrenthN_poster_OHBM2020_15913636133132322.pdf,Cerebral Amyloid Angiopathy is Associated with Decreased Functional Connectivity,Disorders of the Nervous System,Cerebral amyloid angiopathy is associated with decreased functional brain connectivity.,201
https://cdn-akamai.6connex.com/645/1827//poster_ohbm_2020_15913656561119879.pdf,Cognitive Evaluation in Adult Survivors of Childhood ALL using fMRI,Higher Cognitive Functions,Cognitive Evaluation in Adult Survivors of Childhood Acute Lymphoblastic Leukemia using fMRI,1202
https://cdn-akamai.6connex.com/645/1827//TopologyAlcohol_MARTYN2020_1591368032419103.pdf,Neuroanatomical alteration is associated with alcohol use in bipolar disorder,Disorders of the Nervous System,Neuroanatomical alteration is associated with moderate alcohol use in bipolar disorder,1155
https://cdn-akamai.6connex.com/645/1827//pjohnston_ma_poster_15913714954214086.pdf,Electrophysiological Correlates of Audiovisual Binding in Simultaneity Perceptio,"Perception, Attention and Motor Behavior",Electrophysiological Correlates of Audiovisual Binding in Simultaneity Perception,2205
https://cdn-akamai.6connex.com/645/1827//OHBM2020_15913715555675722.pdf,Unary classification & PCA feature extraction for generalized fMRI decoding,Modeling and Analysis Methods,Unary classification & PCA feature extraction for generalized fMRI decoding under rapid-event design,1040
https://cdn-akamai.6connex.com/645/1827//Poster_Connectome_15913731361615993.pdf,Structural connectivity loss & gene expression explain dementia risk in PD,Disorders of the Nervous System,Structural connectivity loss & regional gene expression explain dementia risk in Parkinson's disease,115
https://cdn-akamai.6connex.com/645/1827//Poster_Controllability_15913731896665303.pdf,Network controllability & regional gene expression explain hallucinations in PD,Disorders of the Nervous System,Network controllability and regional gene expression explain visual hallucinations in Parkinsonâ€™s,116
https://cdn-akamai.6connex.com/645/1827//markello_ohbm2020_15913755393088525.pdf,Methodological variability & vibration effects in transcriptomic pipelines,Neuroinformatics and Data Sharing,Methodological variability and vibration effects in transcriptomic processing pipelines,1927
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_DynamicFC_LEDD_DiezCirarda_2020_15913846854616144.pdf,Dynamic functional connectivity and dopaminergic treatment in Parkinsons disease,Disorders of the Nervous System,Dynamic functional connectivity and dopaminergic treatment in Parkinsonâ€™s disease,93
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_15913873469803450.pdf,Encoding of Natural Story Reveals Cortical Representation of Semantic Relations,Language,Neural Encoding of Natural Story Comprehension Reveals Cortical Representation of Semantic Relations,737
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM2020_Doucet_15913928193786828.pdf,Impact of ageing on resting-state networks in 3 cohorts of healthy older adults,Lifespan Development,Impact of ageing on resting-state networks in 3 large cohorts of healthy elderly adults,860
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15913933136147678.pdf,Brain States with Covarying Activity-Connectivity in Schizophrenia,undefined,Brain States with Covarying Activity-Connectivity Underlie the Pathophysiology in Schizophrenia,1113
https://cdn-akamai.6connex.com/645/1827//autonomic_arousal_task_and_rest_poster_OHBM_2020_15913942711843216.pdf,Parasympathetic Arousal-Related Activity is Associated with Attention,Higher Cognitive Functions,Parasympathetic Arousal-Related Activity Associated With Attention During Cognitive Task Performance,2278
https://cdn-akamai.6connex.com/645/1827//OHBM2020_MuellerSG_15913963083499950.pdf,Mapping internal brainstem structures using MP2RAGE derived T1 weighted and T1 r,"Neuroanatomy, Physiology, Metabolism and Neurotransmission",Mapping internal brainstem structures using MP2RAGE at 7T and 3T,1188
https://cdn-akamai.6connex.com/645/1827//OHBM_Poster_127_15914158077019713.pdf,Personality Traits are related with Dynamic Functional Connectivity in Major Dep,Disorders of the Nervous System,Personality Traits are related with Dynamic Functional Connectivity in Major Depression Disorder,127
https://cdn-akamai.6connex.com/645/1827//Divergence_between_schizophrenia_and_autism_spectrum_disorder_on_brain_function_and_structure_15918613341325652.pdf,Divergence between schizophrenia and autism spectrum disorder,Disorders of the Nervous System,Divergence between schizophrenia and autism spectrum disorder on brain function and structure,1262
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15915155924168322.pdf,Longer screen time and functional connectivity in children with dyslexia,Higher Cognitive Functions,Longer screen time and functional connectivity in children with dyslexia,649
https://cdn-akamai.6connex.com/645/1827//OHBM-2020-Haitao_submit_15915765815179371.pdf,Developmental Heatmaps of Brain Functional Connectivity from Newborns to 6-year-,Lifespan Development,Developmental Heatmaps of Brain Functional Connectivity from Newborns to 6-year-olds,983
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Cai_poster_15915766569843485.pdf,Functional connectome fingerprinting: Identifying individuals using refined FC,Modeling and Analysis Methods,Functional connectome fingerprinting: Identifying individuals using refined brain connectivity,1029
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_wlq_v2_1591587553742284.pdf,Determinants of Gray and White Matter Volume in the Shanghai Changfeng Study,Lifespan Development,Determinants of Gray and White Matter Volume in a Chinese Population: the Shanghai Changfeng study,894
https://cdn-akamai.6connex.com/645/1827//poster_2020ohbm_20200601_v.2_15915931478417429.pdf,Connectome-based predictions of processing speed in aging population,Modeling and Analysis Methods,Connectome-based predictions of processing speed in aging population,1079
https://cdn-akamai.6connex.com/645/1827//ohbm_15915936565173840.pdf,Identifying the Eigen-partition of Temporal Functional Brain Networks,Modeling and Analysis Methods,Identifying the Eigen-partition of Temporal Functional Brain Networks,1007
https://cdn-akamai.6connex.com/645/1827//Chantal_Miller_Poster_15915985058889531.pdf,Investigating the laminar profile of predictive signalling in V1 with 7T fMRI,Modeling and Analysis Methods,Investigating the laminar profile of predictive signalling in human V1 with 7T fMRI,2181
https://cdn-akamai.6connex.com/645/1827//OHBM_Alkemade_15916049308038311.pdf,The multimodal 7 Tesla submillimeter Amsterdam Ultra-high field adult lifespan d,Modeling and Analysis Methods,The multimodal 7 Tesla submillimeter Amsterdam Ultra-high field adult lifespan database (AHEAD),1792
https://cdn-akamai.6connex.com/645/1827//OHBM_poster_15916052749618462.pdf,Brain parcellation driven by dynamic functional connectivity,Modeling and Analysis Methods,Brain parcellation driven by dynamic functional connectivity better predict cognitive performance,1149
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_2020_PILOT_MIND_15916083260495445.pdf,An MRI pilot study on mindfulness and cognitive impairment after breast cancer,"Emotion, Motivation and Social Neuroscience",An MRI Pilot Study on Mindfulness and Cognitive Impairment After Breast Cancer Treatment,813
https://cdn-akamai.6connex.com/645/1827//poster_GUARNIERI_OHBM_2020_final_15916217849602480.pdf,RT-NET: a software package for neural activity estimation from high-density EEG,Modeling and Analysis Methods,RT-NET: a software package for neural activity estimation from high-density EEG recordings,1991
https://cdn-akamai.6connex.com/645/1827//Kelly_OHBM_2020_Poster_1130_15916269499719031.pdf,Dual regression may reduce global signal bias in fMRI functional connectivity,Modeling and Analysis Methods,Dual regression may reduce global signal bias in fMRI functional connectivity maps,1130
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Vergara_Nicotine_Attractors_15916275608005521.pdf,Attractor dysfunction in fMRI dynamic connectivity related to nicotine abuse,Modeling and Analysis Methods,Attractor dysfunction in fMRI dynamic connectivity related to nicotine abuse,1181
https://cdn-akamai.6connex.com/645/1827//2020OHBM_poster_15916282615411950.pdf,Cingulate cortex Zone II plays critical role in attentional system,Higher Cognitive Functions,Cingulate cortex Zone II plays critical role in attentional system,2201
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916283627803374.pdf,Modeling Cognitive Scores from Normal Aging to Alzheimer’s Disease ,undefined,Modeling Cognitive Scores from Normal Aging to Alzheimerâ€™s Disease Based on structural MRI and PET,138
https://cdn-akamai.6connex.com/645/1827//172-Using_Functional_Networks_to_Classify_Seizure_Onset_Zones_in_Children_with_Focal_Epilepsy_15916287950369240.pdf,Using Functional Networks to Classify Seizure Onset Zones in Children with Focal,Disorders of the Nervous System,Using Functional Networks to Classify Seizure Onset Zones in Children with Focal Epilepsy,172
https://cdn-akamai.6connex.com/645/1827//OHBM2020_2060_15916318469298973.pdf,Real-Time Z-Shimming for Magnetic Resonance Imaging of the Spinal Cord,Novel Imaging Acquisition Methods,Real-Time Z-Shimming for Magnetic Resonance Imaging of the Spinal Cord,2060
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_Muzik_15916357680074418.pdf, Relationship between functional connectivity and glucose metabolic rate assesse,"Physiology, Metabolism and Neurotransmission ",Relationship between functional connectivity and glucose metabolic rate assessed using PET/MRI,1685
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_Iannopollo_Garcia_15916407136509464.pdf,Enhanced Detection of Cortical Degeneration using Surface Strain Minimization,Modeling and Analysis Methods,Enhanced Detection of Cortical Degeneration from MRI using Surface Strain Minimization,305
https://cdn-akamai.6connex.com/645/1827//20_OHBM_poster_V_15916412142344878.pdf,"NIH Funded NITRCâ€™s Triad of Services: Software, Data, Compute",Neuroinformatics and Data Sharing,"NIH Funded NITRCâ€™s Triad of Services: Software, Data, Compute (Come visit us in Booth 26)",1951
https://cdn-akamai.6connex.com/645/1827//ChechlaczOHBM2020_15916441606165935.pdf,The Association between Poor Sleep and Accelerated Brain Ageing in Older Adults,Lifespan Development,The Association between Poor Sleep and Accelerated Brain Ageing in Older Adults,862
https://cdn-akamai.6connex.com/645/1827//Nan_Poster_OHBM-2020_15916459904337575.pdf,Investigation of spatiotemporal functional interactivity among large-scale brain,Modeling and Analysis Methods,Investigation of spatiotemporal functional interactivity among large-scale brain networks,1602
https://cdn-akamai.6connex.com/645/1827//esfahlani_ohbm2020_1591646773905631.pdf,High-amplitude co-fluctuations in cortical activity drive resting-state function,Modeling and Analysis Methods,High-amplitude co-fluctuations in cortical activity drive resting-state functional connectivity,1054
https://cdn-akamai.6connex.com/645/1827//OHBMPosterCC_15916490903822880.pdf,Age- and Sex-Specific Influence of T-C Ratio on Cortico-Hippocampal Development,Lifespan Development,Age- and Sex-Specific Influence of Testosterone-Cortisol Ratio on Cortico-Hippocampal Development,1019
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916498057517861.pdf,Functional Connectivity Patterns between Hippocampi and Language Cortex in TLE,Language,Functional Connectivity Patterns between Hippocampi and Language Cortex in Temporal Lobe Epilepsy,1242
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916554284499403.pdf,Neural correlates of social ostracism in anxious youth at risk for bipolar,"Emotion, Motivation and Social Neuroscience",Functional neural correlates of social ostracism in anxious youth at high risk for bipolar disorder,132
https://cdn-akamai.6connex.com/645/1827//20200609_OHBM_POSTER_15916565157853982.pdf,Enhancing the Statistical Power of Tracking Network Alterations,Modeling and Analysis Methods,Enhancing the Statistical Power of Tracking Network Alterations Using Longitudinal Network Analysis,1517
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_Jianxiao_1591660647187973.pdf,A Connectivity-based Psychometric Prediction Framework,Modeling and Analysis Methods,A Connectivity-based Psychometric Prediction Framework for Brain-behavior Relationship Studies,1004
https://cdn-akamai.6connex.com/645/1827//Kwon_2020_1591665624310119.pdf,Relationship between depression and dorsolateral prefronto-thalamic tract injury,"Emotion, Motivation and Social Neuroscience",Relationship between depression and dorsolateral prefronto-thalamic tract injury following mild TBI,509
https://cdn-akamai.6connex.com/645/1827//Poster.OHBM.2020_15916688468282012.pdf,Attention and working memory evoke loss of higher-order network structure in OCD,"Perception, Attention and Motor Behavior",Attention and working memory evoke loss of higher-order network structure in OCD,1080
https://cdn-akamai.6connex.com/645/1827//Li_Xiao_4by3_15916688856698157.pdf,Improved behavior prediction from brain functional connectivity by CGGL,Modeling and Analysis Methods,Improved Behavior Prediction from Brain Functional Connectivity by Correlation Guided Graph Learning,1087
https://cdn-akamai.6connex.com/645/1827//OM2020Poster_Rita_v5_15916834886448480.pdf,Structural covariance network degeneration and cognitive decline in stroke,Disorders of the Nervous System,Functional brain network organization predicts cognitive decline in multiple sclerosis,1999
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_15916922830306861.pdf,Investigating the axon-diameter based human brain connectome using MRI,"Neuroanatomy, Physiology, Metabolism and Neurotransmission",Investigating the axon-diameter based human brain connectome using MRI,1806
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Altmann_transcriptomics_15916932509662263.pdf,Transcriptomic parcellation of the human brain reflects structure and function,Genetics,Transcriptomic parcellation of the human brain reflects structure and function,612
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Klöbl_Poster_V1.1_15916941995105044.pdf,Adding positive punishment facilitates learning in fMRI neurofeedback,Learning and Memory,Adding positive punishment facilitates learning in fMRI neurofeedback,542
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_Piitulainen_15916951481462088.pdf,Reproducibility of corticokinematic coherence in EEG,"Perception, Attention and Motor Behavior",Reproducibility of corticokinematic coherence in EEG,2178
https://cdn-akamai.6connex.comet:c208196,Network-targeting in tDCS: inter- and intra-individual variability,Brain Simulation,Network-targeting in transcranial direct current stimulation: Inter and intra individual variability,17
https://cdn-akamai.6connex.com/645/1827//HBM2020_Poster_20200609_15916982066221172.pdf,Role of Arousal in Choice Conflict Adjustments,undefined,Role of Arousal in Choice Conflict Adjustments,704
https://cdn-akamai.6connex.com/645/1827//Wei_Zhao_poster_1502_15916998648655659.pdf,A NPE-mutated method to strengthen outcomes of ICA on individual and group level,Modeling and Analysis Methods,A NPE-mutated method to strengthen outcomes of ICA on both individual and group level fMRI data,1502
https://cdn-akamai.6connex.com/645/1827//Iravani_et._al._OHBM_2020_15917002496412929.pdf,Early Processing of Odor Valence in the Human Olfactory Bulb,"Perception, Attention and Motor Behavior",Early processing of odor valence in the human olfactory bulb,2187
https://cdn-akamai.6connex.com/645/1827//poster_1039_15917004064519028.pdf,Exploring the brain’s routing strategies by simulating packet-based communicatio,Modeling and Analysis Methods,Exploring the brainâ€™s routing strategies by simulating packet-based communication on the connectome,1039
https://cdn-akamai.6connex.com/645/1827//OHBM_poster_Krahe_439_1591700599877792.pdf,Imaging markers of neuropsychiatric profiles in Friedreich ataxia,Disorders of the Nervous System,Imaging markers of neuropsychiatric profiles in Friedreich ataxia,439
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_15917078522636377.pdf,Intracranial EEG atlas of human sleep,Modeling and Analysis Methods,Intracranial EEG atlas of human sleep,2006
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_ClaireGreen_221_15917089004283659.pdf,C-Reactive Protein and Brain Structure in Major Depressive Disorder,Disorders of the Nervous System,C-Reactive Protein and Brain Structure in Major Depressive Disorder,221
https://cdn-akamai.6connex.com/645/1827//Pagani_A0_135x96cm_poster_07_with_youtube_link_15922153581503726.pdf,A cross-species link between mTOR-dependent hyperactivity and functional over-co,Disorders of the Nervous System,A cross-species link between mTOR-dependent hyperactivity and functional over-connectivity in autism,122
https://cdn-akamai.6connex.com/645/1827//nighres-ohbm2020_15917132753748585.pdf,Nighres: a python toolbox for high-resolution neuroimaging,Neuroinformatics and Data Sharing,Nighres: a python toolbox for high-resolution neuroimaging,1900
https://cdn-akamai.6connex.com/645/1827//massp-ohbm2020_15917133213262646.pdf,Multi-contrast Anatomical Subcortical Structures Parcellation,"Neuroanatomy, Physiology, Metabolism and Neurotransmission",Multi-contrast Anatomical Subcortical Structures Parcellation,1782
https://cdn-akamai.6connex.com/645/1827//Misaki_OHBM2020_poster_88_15917153957503838.pdf,Longitudinal Connectome-Wide Analysis of the rtfMRI-nf Training Effects in MDD,Disorders of the Nervous System,Longitudinal Connectome-Wide Analysis of the Real-time fMRI Neurofeedback Training Effects in MDD,88
https://cdn-akamai.6connex.com/645/1827//Poster_presentation_OHBM2020_82_15917154634581512.pdf,The early postpartum period - History of depression,"Emotion, Motivation and Social Neuroscience",The early postpartum period â€“ differences between women with and without a history of depression,82
https://cdn-akamai.6connex.com/645/1827//OHBM_RLiegeois2020_1591716306356401.pdf,Revisiting correlation-based FC to compare brain anatomy and function,Modeling and Analysis Methods,Revisiting correlation-based functional connectivity to compare brain anatomy and function,1457
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM2020MontrealVirtual_MPF_Maps_in_Minimal_Scan_Time_20200614_15921384137465090.pdf,Myelin maps: Macromolecular pool fraction (MPF) using an optimized protocol,Novel Imaging Acquisition Methods,"Fast, quantitative myelin maps: Macromolecular pool fraction (MPF) using an optimized protocol",2025
https://cdn-akamai.6connex.com/645/1827//Olsen_poster_15917173978169208.pdf,Data Visualization for Query by Image Using Modern Javascript,Neuroinformatics and Data Sharing,Data Visualization for Query by Image Using Modern Javascript,1905
https://cdn-akamai.6connex.com/645/1827//ohbm_poster_15917176110285605.pdf,Resting-State Functional Connectivity in Males with a Supernumerary X-Chromosome,Genetics,"Resting-State Functional Connectivity in Males with a Supernumerary X-Chromosome (47,XXY)",1109
https://cdn-akamai.6connex.com/645/1827//SIN_poster2_15917203484075602.pdf,Resting State and DTI Imaging of Speech in Noise,Language,Resting State and DTI Imaging of Speech in Noise,733
https://cdn-akamai.6connex.com/645/1827//SDW_poster_15917214346615033.pdf,Machine Classification of Brain SPECT Images Using Stochastic Discrimination ,Modeling and Analysis Methods,Machine Classification of Brain SPECT Images Using Stochastic Discrimination Machine LearningÂ,1060
https://cdn-akamai.6connex.com/645/1827//SDW_poster_15917224694786426.pdf,Complex Singular Value Decomposition for Resting State Imaging,Modeling and Analysis Methods,Complex Singular Value Decomposition for the Processing and Analysis of Resting State Imaging,1121
https://cdn-akamai.6connex.com/645/1827//OHBM_RVI_2020_PRINT_15917226725016992.pdf,Translating ENIGMA-Schizophrenia Big Data findings to the Individual: RVI,Disorders of the Nervous System,Translating ENIGMA-Schizophrenia Big Data findings to the Individual: Regional Vulnerability Index,1314
https://cdn-akamai.6connex.com/645/1827//KYManning_HBIResearchDay2020_Poster_15917234266069920.pdf,Linked brain signatures in young children predict pre-reading measures,Language,Linked signatures of brain structure and function in young children predict pre-reading measures,1779
https://cdn-akamai.6connex.com/645/1827//Andrea_Luppi_-_Connectome_Harmonics_poster_OHBM2020_1591725657652853.pdf,Signatures of Consciousness in Anaesthesia and Disorders of Consciousness,"Perception, Attention and Motor Behavior",Connectome Harmonic Signatures of Consciousness in Anaesthesia and Disorders of Consciousness,2195
https://cdn-akamai.6connex.com/645/1827//OHBM-2020-Poster-493-Rostowsky-Irimia_15917263553311883.pdf,Similar Neurodegradation Between Traumatic Brain Injury and Alzheimer's Disease,Disorders of the Nervous System,Similar Cerebral Neurodegradation Between Mild Traumatic Brain Injury and Alzheimer's Disease,493
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Versluis_15917266664382907.pdf,Fast EPI geometry correction: application to fMRI and dMRI,Novel Imaging Acquisition Methods,Fast EPI geometry correction: application to functional and diffusion MRI,2004
https://cdn-akamai.6connex.com/645/1827//poster_OHBM2020_v3_15917500572513031.pdf,Connectome-level connectivity in children with reading disabilities,Language,Connectome-level connectivity in children with reading disabilities,736
https://cdn-akamai.6connex.com/645/1827//OHBM_15917286742566866.pdf,Epigenetic signatures of inflammation associate with reductions in brain volume,Lifespan Development,Epigenetic signatures of inflammation associate with global reductions in brain volume,944
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Poster_Kagan_et_al_02_15917303613948891.pdf,Infant Regional Corpus Callosum and Forebrain Volumes After Surgery for LGEA,"Neuroanatomy, Physiology, Metabolism and Neurotransmission",Infant Regional Corpus Callosum and Forebrain Volumes After Surgery for Long-Gap Esophageal Atresia,226
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_SEEK_poster_15918132565543376.pdf,Semi-Automatic SEEG Localization and Interactive Neuroimage Visualization in Epi,"Neuroanatomy, Physiology, Metabolism and Neurotransmission",Semi-Automatic SEEG Localization and Interactive Neuroimage Visualization in Epilepsy Patients,1957
https://cdn-akamai.6connex.com/645/1827//OHBM_dering_poster_final_15917315285939541.pdf,Deep Convolutional Autoencoder for Reducing Motion Artifacts in Brain MRI Scans,Modeling and Analysis Methods,Deep Convolutional Autoencoder for Reducing Motion Artifacts in Structural Brain MRI Scans,1127
https://cdn-akamai.6connex.com/645/1827//PPMI_Connectivity_poster_tlm_AV_15917334506585584.pdf,Frontal and Basal Ganglia Connectivity and Parkinson's Disease Progression,Disorders of the Nervous System,Frontal and Basal Ganglia Connectivity are Associated with Parkinsonâ€™s Disease Progression,378
https://cdn-akamai.6connex.com/645/1827//PPMI_SWEDD_poster_15917335672015671.pdf,Scans Without Evidence of Dopaminergic Deficiency:A Tractography Study,Disorders of the Nervous System,Elucidating Scans Without Evidence of Dopaminergic Deficiency: A Tractography Study,205
https://cdn-akamai.6connex.com/645/1827//OHBM_465_15917358485577800.pdf,Discovering Propagation Pattern of Neurodegeneration across Brain Networks,Disorders of the Nervous System,Discovering Propagation Pattern of Neurodegeneration across Brain Networks,465
https://cdn-akamai.6connex.com/645/1827//OHBM_1526_15917365366346436.pdf,A General Learning-based Framework to Characterize Intrinsic Brain Connectivity,Modeling and Analysis Methods,A General Learning-based Framework to Characterize Intrinsic Connectivity Strength in Brain Networks,1526
https://cdn-akamai.6connex.com/645/1827//OHBM_1586_1591736787996278.pdf,Characterizing Network Resilience in Alzheimer’s Disease,Disorders of the Nervous System,Characterizing Network Resilience in Alzheimer's Disease,1586
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_v1.0_JRCK_15917376213006889.pdf,Optimising connectome fingerprinting for neurodevelopment applications,Modeling and Analysis Methods,Refining the fingerprint: Optimising connectome fingerprinting for neurodevelopmental applications,895
